"Gene Symbol","MGI Gene Id","Colony Id","Sex","Zygosity","Phenotype","Comment"
"Smoc1","MGI:1929878","H-Smoc1-C03-TM1B","both","homozygote","Subviable"
"Gfod1","MGI:2145304","JR27240","both","homozygote","Viable"
"Foxj3","MGI:2443432","Foxj3 EPD0536_5_B08-2","both","homozygote","Viable","Conflicting Data"
"Rpl7l1","MGI:1913479","RPLMB","both","homozygote","Lethal"
"Pja2","MGI:2159342","PJADB","both","homozygote","Viable"
"Sh2d5","MGI:2446215","MEMX","both","homozygote","Viable"
"Zfp609","MGI:2674092","ZFYPB","both","homozygote","Lethal"
"Nrxn1","MGI:1096391","H-NRNX1-E08-TM1B","both","homozygote","Viable"
"Pigl","MGI:2681271","MUFF","both","homozygote","Lethal"
"Hspb3","MGI:1928479","JR18618","both","homozygote","Viable"
"Igsf11","MGI:2388477","JR21516","both","homozygote","Viable"
"Pde1b","MGI:97523","PDELB","both","homozygote","Viable"
"Mdp1","MGI:1915131","JR25188","both","homozygote","Viable"
"Tcte1","MGI:98640","MEQN","both","homozygote","Viable"
"Ndufs7","MGI:1922656","NDUSB","both","homozygote","Lethal"
"Cyba","MGI:1316658","MFAC","both","homozygote","Viable"
"Tgfb3","MGI:98727","TCPM0848Cre","both","homozygote","Lethal"
"Pth","MGI:97799","MFEQ","both","homozygote","Viable"
"Atf3","MGI:109384","H-ATF3-G02-TM1B","both","homozygote","Viable"
"Atp6v0a1","MGI:103286","TCPA0152Cre","both","homozygote","Lethal"
"Chchd1","MGI:1913371","BL5365_TCP","both","homozygote","Viable"
"Ism2","MGI:2685110","ISMTB","both","homozygote","Viable"
"Selk","MGI:1931466","MUAE","both","homozygote","Viable"
"A2m","MGI:2449119","TCPA0687Cre","both","homozygote","Viable"
"Rsad1","MGI:3039628","MFPV","both","homozygote","Viable","Conflicting Data"
"Repin1","MGI:1889817","MFTS","both","homozygote","Viable"
"Alg10b","MGI:2146159","Alg10b 10825A-D5","both","homozygote","Lethal"
"Tnpo2","MGI:2384849","TNPPB","both","homozygote","Viable"
"Anxa9","MGI:1923711","MUBO","both","homozygote","Viable"
"Paqr7","MGI:1919154","JR25391","both","homozygote","Viable"
"Gldc","MGI:1341155","MDSB","both","homozygote","Lethal"
"Stag3","MGI:1355311","JR21115","both","homozygote","Viable"
"Mag","MGI:96912","JR25187","both","homozygote","Viable"
"Hsf1","MGI:96238","JR18582","both","homozygote","Subviable"
"Phtf1","MGI:1332671","BL3259","both","homozygote","Viable"
"Ptger2","MGI:97794","BL4092","both","homozygote","Viable"
"Ptpn14","MGI:102467","BL3451","both","homozygote","Subviable"
"Ddx51","MGI:1916913","MGMT","both","homozygote","Lethal"
"A830005F24Rik","MGI:3045249","ET8308","both","homozygote","Viable"
"Bhlha9","MGI:2444198","BL4840","both","homozygote","Viable"
